Indicator,Sector,Stage,Team,Traction,Sector,Stage of Venture,Team Characteristics,Traction Indicators,Prompt
1,1,1,1,1,"R&D-Intensive (e.g. hardware, life sciences)",Idea/Concept,Founders with Prior Startup Experience,No Funding Yet,"Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: R&D-Intensive (e.g. hardware, life sciences); Stage of Venture: Idea/Concept; Team Characteristics: Founders with Prior Startup Experience; Traction Indicators: No Funding Yet"
2,2,1,1,1,Consumer Products,Idea/Concept,Founders with Prior Startup Experience,No Funding Yet,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Consumer Products; Stage of Venture: Idea/Concept; Team Characteristics: Founders with Prior Startup Experience; Traction Indicators: No Funding Yet
3,3,1,1,1,Software/Enterprise Solutions,Idea/Concept,Founders with Prior Startup Experience,No Funding Yet,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Software/Enterprise Solutions; Stage of Venture: Idea/Concept; Team Characteristics: Founders with Prior Startup Experience; Traction Indicators: No Funding Yet
4,4,1,1,1,Energy/Green Technology,Idea/Concept,Founders with Prior Startup Experience,No Funding Yet,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Energy/Green Technology; Stage of Venture: Idea/Concept; Team Characteristics: Founders with Prior Startup Experience; Traction Indicators: No Funding Yet
5,1,2,1,1,"R&D-Intensive (e.g. hardware, life sciences)",Prototype/Proof of Concept,Founders with Prior Startup Experience,No Funding Yet,"Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: R&D-Intensive (e.g. hardware, life sciences); Stage of Venture: Prototype/Proof of Concept; Team Characteristics: Founders with Prior Startup Experience; Traction Indicators: No Funding Yet"
6,2,2,1,1,Consumer Products,Prototype/Proof of Concept,Founders with Prior Startup Experience,No Funding Yet,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Consumer Products; Stage of Venture: Prototype/Proof of Concept; Team Characteristics: Founders with Prior Startup Experience; Traction Indicators: No Funding Yet
7,3,2,1,1,Software/Enterprise Solutions,Prototype/Proof of Concept,Founders with Prior Startup Experience,No Funding Yet,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Software/Enterprise Solutions; Stage of Venture: Prototype/Proof of Concept; Team Characteristics: Founders with Prior Startup Experience; Traction Indicators: No Funding Yet
8,4,2,1,1,Energy/Green Technology,Prototype/Proof of Concept,Founders with Prior Startup Experience,No Funding Yet,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Energy/Green Technology; Stage of Venture: Prototype/Proof of Concept; Team Characteristics: Founders with Prior Startup Experience; Traction Indicators: No Funding Yet
9,1,3,1,1,"R&D-Intensive (e.g. hardware, life sciences)",Early Market Testing,Founders with Prior Startup Experience,No Funding Yet,"Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: R&D-Intensive (e.g. hardware, life sciences); Stage of Venture: Early Market Testing; Team Characteristics: Founders with Prior Startup Experience; Traction Indicators: No Funding Yet"
10,2,3,1,1,Consumer Products,Early Market Testing,Founders with Prior Startup Experience,No Funding Yet,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Consumer Products; Stage of Venture: Early Market Testing; Team Characteristics: Founders with Prior Startup Experience; Traction Indicators: No Funding Yet
11,3,3,1,1,Software/Enterprise Solutions,Early Market Testing,Founders with Prior Startup Experience,No Funding Yet,Write a short description of a hypothetical startup that could be created and manifests the following characteristics: Sector: Software/Enterprise Solutions; Stage of Venture: Early Market Testing; Team Characteristics: Founders with Prior Startup Experience; Traction Indicators: No Funding Yet
